Name,Team,,BB%,K%,OPS,ISO,BABIP,Spd,LD%,GB%,FB%,HR/FB,Hard%,H,HR,R,RBI,BB,SB,G,2B,3B,CS,AB,O-Swing%,O-Contact%,NameASCII,PlayerId,MLBAMID
"Elias Díaz","COL",,0.064638783,0.2243346,0.725054373,0.141975309,0.324022346,2.1555945240441026,0.17204301,0.467741935,0.360215053,0.104477611,0.379,130,14,48,72,34,1,141,25,1,0,486,0.3977,0.6063,"Elias Diaz",11680,553869
"Ryan Jeffers","MIN",,0.098507462,0.27761194,0.858090549,0.213286713,0.359116022,4.42709250177534,0.18134715,0.393782383,0.424870466,0.170731707,0.3266,79,14,46,43,33,3,96,15,2,2,286,0.3212,0.6055,"Ryan Jeffers",24618,680777
"Elly De La Cruz","CIN",,0.081967213,0.337236533,0.710263297,0.175257732,0.336206896,9.186455474252599,0.242798353,0.53909465,0.218106995,0.245283018,0.3252,91,13,67,44,35,35,98,15,7,8,388,0.3525,0.6053,"Elly De La Cruz",26668,682829
"Jordan Westburg","BAL",,0.070175438,0.245614035,0.715249661,0.144230769,0.335526315,5.778287382566138,0.22077922,0.415584415,0.363636363,0.053571428,0.4,54,3,26,23,16,4,68,17,2,1,208,0.3117,0.6039,"Jordan Westburg",27815,676059
"Jonathan Davis","MIA",,0.067307692,0.278846153,0.68470847,0.133333333,0.327868852,5.818837401591543,0.19047619,0.507936507,0.301587301,0.105263157,0.2154,22,2,22,10,7,1,34,4,1,2,90,0.2284,0.6038,"Jonathan Davis",15104,641505
"Kevin Pillar","ATL",,0.029126213,0.242718446,0.663816469,0.187817259,0.255319148,5.160039988813086,0.241610738,0.348993288,0.409395973,0.147540983,0.36,45,9,29,32,6,4,81,10,0,1,197,0.4345,0.6032,"Kevin Pillar",12434,607680
"Willi Castro","MIN",,0.083129584,0.242053789,0.749680864,0.153631285,0.328063241,8.716865755081617,0.193675889,0.391304347,0.415019762,0.085714285,0.3106,92,9,60,34,34,33,124,18,5,5,358,0.3716,0.6024,"Willi Castro",17338,650489
"Kody Clemens","PHI",,0.054054054,0.27027027,0.643933501,0.136690647,0.294736842,1.42757935875,0.222222222,0.414141414,0.363636363,0.111111111,0.2828,32,4,15,13,8,0,49,7,0,0,139,0.316,0.6019,"Kody Clemens",20572,665019
"Salvador Perez","KCR",,0.03275862,0.23275862,0.714320628,0.167286245,0.293814432,1.20958645875,0.228710462,0.362530413,0.408759124,0.136904761,0.3577,137,23,59,80,19,0,140,21,0,0,538,0.4953,0.6016,"Salvador Perez",7304,521692
"Jorge Soler","MIA",,0.113793103,0.243103448,0.853284071,0.261904761,0.271903323,1.8392107592062785,0.179836512,0.356948228,0.463215258,0.211764705,0.4305,126,36,77,75,66,1,137,24,0,0,504,0.2924,0.601,"Jorge Soler",14221,624585
