Name,Team,,BB%,K%,OPS,ISO,BABIP,Spd,LD%,GB%,FB%,HR/FB,Hard%,H,HR,R,RBI,BB,SB,G,2B,3B,CS,AB,O-Swing%,O-Contact%,NameASCII,PlayerId,MLBAMID
"Kyle Lewis","SEA",,0.108843537,0.25170068,0.725641025,0.146153846,0.306818181,3.31828055684451,0.236559139,0.333333333,0.430107526,0.125,0.3441,32,5,15,11,16,2,36,4,0,0,130,0.2536,0.5682,"Kyle Lewis",19508,641786
"Garrett Hampson","COL",,0.066801619,0.238866396,0.668896651,0.145695365,0.291411042,7.218786672385504,0.225705329,0.394984326,0.379310344,0.09090909,0.3529,106,11,69,33,33,17,147,21,6,7,453,0.2711,0.5679,"Garrett Hampson",19262,641658
"Nick Castellanos","CIN",,0.07008547,0.206837606,0.938664348,0.267419962,0.340314136,3.46295862779148,0.266826923,0.375,0.358173076,0.228187919,0.4038,164,34,95,100,41,3,138,38,1,1,531,0.4035,0.5678,"Nick Castellanos",11737,592206
"Trevor Story","COL",,0.08907563,0.233613445,0.800894653,0.220532319,0.29347826,6.745423849434132,0.18877551,0.369897959,0.44132653,0.138728323,0.3827,132,24,88,75,53,20,142,34,5,6,526,0.3347,0.5669,"Trevor Story",12564,596115
"Aaron Judge","NYY",,0.118483412,0.249605055,0.916464167,0.256363636,0.332402234,2.896148537316562,0.231738035,0.413098236,0.355163727,0.276595744,0.4685,158,39,89,98,75,6,148,24,0,1,550,0.2703,0.5666,"Aaron Judge",15640,592450
"Victor Caratini","SDP",,0.098314606,0.230337078,0.63167247,0.095846646,0.280701754,2.6203172315200085,0.182978723,0.506382978,0.310638297,0.09589041,0.3106,71,7,33,39,35,2,116,9,0,0,313,0.2973,0.5658,"Victor Caratini",14968,605170
"Luis Robert Jr.","CHW",,0.047297297,0.206081081,0.945651105,0.229090909,0.394088669,4.752400868627817,0.263888888,0.36574074,0.37037037,0.1625,0.3565,93,13,42,43,14,6,68,22,1,1,275,0.4454,0.5652,"Luis Robert Jr.",20043,673357
"Jordy Mercer","WSN",,0.070866141,0.267716535,0.671493393,0.110169491,0.341463414,1.37596524625,0.273809523,0.392857142,0.333333333,0.071428571,0.3571,30,2,13,9,9,0,46,7,0,0,118,0.2815,0.5647,"Jordy Mercer",6547,474568
"Stephen Piscotty","OAK",,0.069148936,0.255319148,0.634516049,0.132947977,0.275,2.2147665831138634,0.2,0.392,0.408,0.098039215,0.24,38,5,14,16,13,1,72,8,0,0,173,0.3585,0.5639,"Stephen Piscotty",13367,572039
"Manny Piña","MIL",,0.10576923,0.182692307,0.732158118,0.25,0.161538461,1.55274085875,0.139860139,0.384615384,0.475524475,0.19117647,0.3077,34,13,27,33,22,0,75,6,0,0,180,0.2848,0.563,"Manny Pina",2829,444489
"Charlie Culberson","TEX",,0.062730627,0.236162361,0.67644695,0.137651822,0.307262569,5.542310032922283,0.211956521,0.467391304,0.320652173,0.084745762,0.2606,60,5,23,22,17,7,91,15,2,1,247,0.3739,0.5628,"Charlie Culberson",3298,518586
"Justin Upton","LAA",,0.107734806,0.29558011,0.705203922,0.198113208,0.253807106,3.5414463605236883,0.140186915,0.425233644,0.434579439,0.182795698,0.3598,67,17,47,41,39,4,89,12,0,1,318,0.2773,0.561,"Justin Upton",5222,457708
"Willi Castro","DET",,0.051111111,0.242222222,0.624020236,0.130750605,0.275167785,6.909803307666052,0.207236842,0.463815789,0.328947368,0.09,0.2194,91,9,56,38,23,9,125,15,6,4,413,0.424,0.561,"Willi Castro",17338,650489
"Mitch Haniger","SEA",,0.078147612,0.244573082,0.80386303,0.232258064,0.28095238,3.4576653902846113,0.161220043,0.433551198,0.405228758,0.209677419,0.3725,157,39,110,100,54,1,157,23,2,0,620,0.3296,0.5595,"Mitch Haniger",14274,571745
"Salvador Perez","KCR",,0.042105263,0.255639097,0.85933786,0.270967742,0.298029556,1.8413676957945384,0.226872246,0.372246696,0.400881057,0.263736263,0.4383,169,48,88,121,28,1,161,24,0,0,620,0.4834,0.5589,"Salvador Perez",7304,521692
"Kole Calhoun","ARI",,0.082417582,0.225274725,0.670197271,0.138554216,0.280991735,2.5210064058239645,0.222222222,0.365079365,0.412698412,0.096153846,0.3651,39,5,17,17,15,1,51,8,0,0,166,0.3105,0.5588,"Kole Calhoun",11200,594777
"Vladimir Guerrero Jr.","TOR",,0.123209169,0.157593123,1.002139508,0.289735099,0.3125,3.118893831728269,0.1875,0.447580645,0.364919354,0.26519337,0.4173,188,48,123,111,86,4,161,29,1,1,604,0.2829,0.5584,"Vladimir Guerrero Jr.",19611,665489
"Brandon Crawford","SFG",,0.102003642,0.19125683,0.895145323,0.223602485,0.334261838,5.063647432813147,0.188481675,0.397905759,0.413612565,0.151898734,0.3159,144,24,79,90,56,11,138,30,3,3,483,0.3206,0.5583,"Brandon Crawford",5343,543063
