Name,Team,,BB%,K%,OPS,ISO,BABIP,Spd,LD%,GB%,FB%,HR/FB,Hard%,H,HR,R,RBI,BB,SB,G,2B,3B,CS,AB,O-Swing%,Contact%,NameASCII,PlayerId,MLBAMID
"Carlos Santana","- - -",,0.140316205,0.173913043,0.692075602,0.174013921,0.208588957,1.0016700837499999,0.168604651,0.39244186,0.438953488,0.125827814,0.3507,87,19,52,60,71,0,131,18,0,0,431,0.2566,0.8045,"Carlos Santana",2396,467793
"Mike Ford","- - -",,0.114093959,0.268456375,0.614990521,0.106870229,0.272727272,0.43249128375,0.23076923,0.329670329,0.439560439,0.075,0.3187,27,3,9,10,17,0,50,5,0,0,131,0.2353,0.8037,"Mike Ford",15585,645801
"Spencer Steer","CIN",,0.101851851,0.24074074,0.631871344,0.115789474,0.268656716,2.259187211067637,0.188405797,0.434782608,0.376811594,0.076923076,0.2174,20,2,12,8,11,0,28,5,0,1,95,0.275,0.7933,"Spencer Steer",26323,668715
"José Abreu","CHW",,0.091310751,0.162002945,0.82442125,0.141430948,0.35,1.4200310525,0.204040404,0.478787878,0.317171717,0.095541401,0.3717,183,15,85,75,62,0,157,40,0,0,601,0.3365,0.7926,"Jose Abreu",15676,547989
"Joey Meneses","WSN",,0.0625,0.216666666,0.929729729,0.238738739,0.371069182,2.4199954663609473,0.255813953,0.447674418,0.296511627,0.25490196,0.3605,72,13,33,34,15,1,56,14,0,0,222,0.3308,0.7885,"Joey Meneses",14366,608841
"Nathaniel Lowe","TEX",,0.074418604,0.227906976,0.850551001,0.190556493,0.362768496,2.6567892075082993,0.213483146,0.480898876,0.305617977,0.198529411,0.352,179,27,74,76,48,2,157,26,3,2,593,0.3489,0.7876,"Nathaniel Lowe",19566,663993
"Anthony Rizzo","NYY",,0.105839416,0.184306569,0.817161132,0.255913979,0.215568862,3.6907125887142356,0.175342465,0.331506849,0.493150684,0.177777777,0.3251,104,32,77,75,58,6,130,21,1,5,465,0.3212,0.7866,"Anthony Rizzo",3473,519203
"Pete Alonso","NYM",,0.097810218,0.186861313,0.869412756,0.246231156,0.278538812,2.891825484794796,0.198744769,0.361924686,0.439330543,0.19047619,0.3389,162,40,95,131,67,5,160,27,0,1,597,0.3602,0.7856,"Pete Alonso",19251,624413
"Rowdy Tellez","MIL",,0.103505843,0.202003338,0.766756818,0.241965974,0.215425531,1.8387109864948799,0.155717761,0.389294403,0.454987834,0.187165775,0.4039,116,35,67,89,62,2,153,23,0,1,529,0.3102,0.7828,"Rowdy Tellez",15679,642133
"Garrett Cooper","MIA",,0.085287846,0.253731343,0.75234593,0.154589372,0.340206185,1.77684994,0.263333333,0.443333333,0.293333333,0.102272727,0.34,108,9,37,50,40,0,119,33,2,0,414,0.3172,0.7803,"Garrett Cooper",15279,643265
"Vladimir Guerrero Jr.","TOR",,0.082152974,0.164305949,0.818150736,0.205329154,0.289473684,3.094720705794078,0.173003802,0.520912547,0.30608365,0.198757763,0.384,175,32,90,97,58,8,160,35,0,3,638,0.3422,0.78,"Vladimir Guerrero Jr.",19611,665489
"Jose Miranda","MIN",,0.057971014,0.188405797,0.750727434,0.157657657,0.30678466,1.5201414595728602,0.20338983,0.420903954,0.375706214,0.112781954,0.3475,119,15,45,66,28,1,125,25,0,1,444,0.3722,0.7749,"Jose Miranda",20538,669304
"C.J. Cron","COL",,0.068037974,0.25949367,0.78319851,0.210434782,0.30749354,2.44686948375,0.204326923,0.394230769,0.401442307,0.173652694,0.3125,148,29,79,102,43,0,150,28,3,0,575,0.3578,0.7735,"C.J. Cron",12546,543068
"Christian Walker","ARI",,0.103448275,0.196401799,0.803680491,0.234991423,0.24822695,2.7023817557392444,0.174291938,0.383442265,0.442265795,0.177339901,0.3791,141,36,84,94,69,2,160,25,2,2,583,0.2719,0.7722,"Christian Walker",13419,572233
